,0
0,-1170741.4889361353
1,200.5847179920529
2,-33690.59193499813
3,0.0
4,66757.28337306599
5,820.6890225406023
6,733.1376298443574
7,815.8505629294177
8,340.73795368610286
9,-135967.2805518604
10,0.0
11,170173.67779449432
12,-653.6322978354219
13,-26.21563137218618
14,1256.692076617961
15,1338.9680888338623
16,-172089.49003073853
17,0.0
18,208714.60387220274
19,1295.6739957967065
20,362.1629497413742
21,1539.9919462659745
22,-2645.694192060775
23,-209266.738571946
24,0.0
25,250908.9058652426
26,-3792.18411330818
27,-813.8705817154932
28,-651.5468008164626
29,2309.583810883916
30,-247960.88818028636
31,0.0
32,290372.4785782122
33,-2358.8947521247865
34,3611.1950956103337
35,2261.5405436687943
36,4371.013077610458
37,-298257.332542977
38,0.0
39,332012.6638088458
40,-9335.178359047717
41,-675.1120349588023
42,-2708.9924198571216
43,1029.6991335498255
44,-320323.080128532
45,0.0
46,358394.7322024017
47,-328.5842885977054
48,1960.0833864641481
49,218.72351464262647
50,1995.1864619637909
51,-362240.14127687446
52,0.0
53,400691.6077670856
54,-5033.092768684519
55,1250.6860856281273
56,-396909.2010840292
57,403764.18422942096
58,-403764.18422942096
59,0.0
60,447503.61311181105
61,-5648.300622002422
62,-11548.216530012494
63,5871.180612471827
64,-7352.301405113125
65,-428825.97516715486
66,0.0
67,472378.85967194266
68,8849.293199778418
69,6106.775654653088
70,-6727.597156869824
71,3621.041282081973
72,-484228.37265158637
73,0.0
74,513697.9643946892
75,-3179.400445045925
76,7421.0697037304535
77,-10791.915566328147
78,-909.1307531003567
79,-506238.5873339452
80,0.0
81,529884.4273759298
82,15759.521545119902
83,9272.957848591173
84,9522.076948464019
85,-564438.9837181049
86,0.0
87,0.0
88,628031.5381184001
89,719.6860803898226
90,-2309.0438050483335
91,-2080.1799014480202
92,-4540.985804635869
93,-619821.0146876577
94,0.0
95,679049.5554942272
96,-992.6698139449618
97,-16258.619151138606
98,0.052579348604922416
99,-2259.9559570144484
100,-659538.3631514779
101,0.0
102,698205.4676724568
103,7349.7790004461185
104,4172.76996627042
105,-11785.492611280637
106,6911.201168225685
107,-704853.7251961182
108,0.0
109,0.0
110,748561.8903894929
111,-10916.8639623969
112,-7409.582846115876
113,-21944.69440880396
114,-708290.7491721762
115,0.0
116,744132.3878151557
117,-8293.15511465433
118,-3728.9858007163657
119,-30836.86097309145
120,16396.39151663188
121,-717669.7774433253
122,0.0
123,775359.3456908605
124,6859.469275788842
125,1834.1252239316582
126,-43230.58112002885
127,2678.773740348519
128,-743501.1328109007
129,0.0
130,771598.4706550918
131,5610.309500765026
132,14502.999441829174
133,-7068.691264085055
134,-11650.793814711367
135,-772992.2945188896
136,0.0
137,804106.4089840897
138,15007.10759119629
139,3915.7479422195393
140,-17747.823304202233
141,-12441.839425298836
142,-792839.6017880046
143,0.0
144,0.0
145,823821.5515710154
146,-20000.660319477243
147,22823.71835512744
148,16603.008365511545
149,-843247.6179721771
150,0.0
151,905547.6886371917
152,-6782.345267524801
153,10153.176650802892
154,-18615.291120881684
155,-1246.0446068182755
156,-889057.1842927699
157,0.0
158,897690.2571971279
159,-11234.566797895153
160,21528.6934083585
161,-12833.067887932335
162,-22664.215319111932
163,-872487.100600547
164,0.0
165,894042.8301856542
166,24020.434358547183
167,13588.268369530928
168,14046.456400192823
169,16171.936655400194
170,-961869.9259693252
171,0.0
172,1002240.8507416155
173,26254.902040391004
174,-5410.879710485831
175,19646.481301003274
176,3587.882343473171
177,-1046319.2367159972
178,0.0
179,1092323.1360463784
180,14597.074438146887
181,-36.36631840800692
182,-19772.73079247026
183,6942.590105570598
184,-1094053.7034792176
185,0.0
186,1152394.8912966815
187,-23606.65052484906
188,-19024.819272498185
189,7016.540789776431
190,-16056.400138508357
191,-1100723.5621506022
192,0.0
193,1113314.7084371643
194,3543.908873410657
195,17718.318661823163
196,-17113.87554323743
197,-1117463.0604291607
198,0.0
199,0.0
200,1169551.562104078
201,20649.110545841184
202,-31151.48528239681
203,-21234.974603848445
204,-13811.22699863361
205,-1124002.9857650404
206,0.0
207,1159015.7880484476
208,-51548.04482086064
209,-16490.216568800955
210,32933.78314537328
211,-26051.476947944906
212,-1097859.8328562144
213,0.0
214,1146572.810373874
215,16536.279389290932
216,41295.14134227461
217,-46344.54856642524
218,-6756.5038567778465
219,-1151303.1786822365
220,0.0
221,1126030.915645644
222,4579.352873924599
223,-37360.10892909042
224,-5247.933060345946
225,30156.484911013915
226,-1118158.7114411464
227,0.0
228,1134651.0977012846
229,26260.54920109508
230,-47348.72229521077
231,-10207.736347160779
232,-19799.305668138084
233,-1083555.8825918701
234,0.0
235,1140296.4863764043
236,-25131.491492066853
237,11359.050599050503
238,30542.35049664944
239,35772.85941498319
240,-1192839.2553950208
241,0.0
242,0.0
243,1233784.0508994784
244,-14146.68795897212
245,31567.684442426413
246,-25141.662767380047
247,-1226063.3846155526
248,0.0
249,1263896.0930753665
250,16893.722932704273
251,-17316.11189366546
252,-36440.9770950819
253,-29628.229422752942
254,-1197404.4975965705
255,0.0
256,1177455.0699151335
257,2631.1144738514777
258,35203.11093956275
259,-43621.23579932416
260,6280.272073045066
261,-1177948.3316022686
262,0.0
263,0.0
264,1256870.9643298632
265,-6241.90358689954
266,1284.359154116477
267,45355.08085178915
268,-1297268.5007488693
269,0.0
270,1322889.312590777
271,-29978.28098055016
272,-2829.0019120049965
