,0
0,1580.9350137156407
1,-57.61530133719498
2,-3.169281337191933
3,-3.169281337191933
4,323.2875546293799
5,62.01965628514881
6,618.6830653672514
7,-351.98678345059307
8,362.34490441085654
9,-3.265415589143231
10,-3.265415589143231
11,-332.328697075096
12,51.3652599274501
13,-11.070855815740288
14,-3.2624075929727496
15,87.14334578795498
16,-2.43436773491986
17,-2.434367734919306
18,-713.939294073413
19,1359.2206206464498
20,-499.12974605662725
21,-1284.9881127230435
22,2093.542293660012
23,-2.440310436634391
24,-2.4884920278845897
25,-600.8040212123547
26,-521.7570178807634
27,-583.5649101143058
28,253.5021848691583
29,-1808.9298201801626
