,0
0,-6.5233957394520985
1,-173.72804301617725
2,-6.44058766332455
3,-6.440573206651607
4,-6.440293870640744
5,325.439343750797
6,2540.40204904231
7,966.0297690064053
8,866.0823785242103
9,-2.990683275388733
10,-2.9300172926763324
11,1147.9067357705949
12,-5575.587422077698
13,1614.0606211214458
14,-1531.3834068713927
15,-1676.8151858158526
16,-1.5602667317820078
17,-1.23145379511897
18,787.0707647822976
19,-1723.099176426928
20,-1586.0617995901766
21,-2084.3059841405866
22,-2777.4496398930155
23,-1.4689512532619133
24,-1.5372682046412294
25,-1848.2044741428822
26,146.3555225128867
27,3086.525861091731
