,0
0,100000.0
1,99993.47660426055
2,99819.74856124437
3,99813.30797358105
4,99806.86740037441
5,99800.42710650376
6,100125.86645025456
7,102666.26849929686
8,103632.29826830328
9,104498.38064682749
10,104495.38996355208
11,104492.4599462594
12,105640.36668203
13,100064.77925995232
14,101678.83988107376
15,100147.45647420236
16,98470.64128838651
17,98469.08102165473
18,98467.84956785961
19,99254.92033264191
20,97531.82115621498
21,95945.75935662481
22,93861.45337248423
23,91084.0037325912
24,91082.53478133795
25,91080.9975131333
26,89232.79303899042
27,89379.14856150332
28,92465.67442259504
