,0
0,-3.270780884238775
1,-50.76838792490889
2,-3.247257924900623
3,-3.247257924900623
4,26.104309369111434
5,122.50960784706695
6,-73.23208925504878
7,172.2049721591975
8,-149.33141972985322
9,-3.2609397298510885
10,-3.2609397298438125
11,-594.5947685100437
12,400.857162028351
13,-24.10568776092623
14,-1609.1410118543017
15,-1046.450033882732
16,-2.365524923848966
17,-2.4128083039495465
18,1282.3225655224003
19,155.3252020991826
20,1649.7239504969848
21,-613.6464662731383
22,771.8183622084119
23,-2.4267251358937756
24,-2.4267251358908197
25,-327.581414284943
26,-164.2328644886647
27,15.601146306883678
28,-0.016150067393290612
29,42.41409566760194
30,0.0
